SKU_ID,Name,Category,Unit,Opening_Balance,Current_stock,Image,Low_Stock_Threshold,Total_Inflow,Cost_Per_Unit,createdAt
sku-1771406960024,ບິກອີຊີໂກລ,Merch,pcs,850,300,https://drive.google.com/uc?id=1mGYB0oPqQFo3koTzQe1sBB2ytghlNPVQ,10,2750,5000,2026-02-20
sku-1771407004896,ພວງກະເເຈ,Merch,pcs,474,0,https://drive.google.com/uc?id=1qpRx9mvqdJ1XJNAI5A1Yum-S1kehd3JT,0,474,7000,2026-02-20
sku-1771407061986,ຈອກກາເເຟ,Merch,pcs,1637,255,https://drive.google.com/uc?id=1AZ98F3nSd5kaWCpxmVUpcCCqiN98wEJw,0,1637,40000,2026-02-20
sku-1771407101349,ຈອກເກັບຄວາມເຢັນ,Merch,pcs,175,0,https://drive.google.com/uc?id=1hkA1erHwgR0y9yNCPITVTAuQCOTRyx9S,0,775,73000,2026-02-20
sku-1771407148002,ກະເປົາຜ້າ,Merch,pcs,0,0,https://drive.google.com/uc?id=1tuoXVXQvPsrEsQKVCgcgMSjemrSfN0qU,0,0,40000,2026-02-20
sku-1771407316677,ຄັນຮົ່ມ 2026,Merch,pcs,0,0,https://drive.google.com/uc?id=1ObA0rIgPSEiZtrqAul49v0r0EAaFv26e,10,400,84000,2026-02-20
sku-1771407810939,ກະປຸກອອມສິນ,Merch,pcs,392,34,https://drive.google.com/uc?id=1zYF1oMDsGQ3SddvFHwy7669xUcjiamsj,0,392,59000,2026-02-20
sku-1771407856341,ຫມວກ,Merch,pcs,0,0,https://drive.google.com/uc?id=1nWLOttjR5tBJbmtTx7xcsifZkj6NBZbu,0,0,53000,2026-02-20
sku-1771407897767,ກະເປົາເດີນທາງ,Merch,pcs,1,100,https://drive.google.com/uc?id=1jqbe2VQorLQKzhEa70kLjQAK8IUk7SRM,1,201,445000,2026-02-20
sku-1771407936514,ຄັນຮົ່ມກ໊ອບ,Merch,pcs,98,1,https://drive.google.com/uc?id=1iWhKjJRgOH7D1KyVmgx82NI1UeCB23Jk,1,98,180000,2026-02-20
sku-1771407974256,ຊຸດຈອກກາເຟ,Merch,set,310,140,https://drive.google.com/uc?id=1BMRMe8whaL7XGIF_DnQPbYYIA_rozwqL,0,310,330000,2026-02-20
sku-1771408020353,ຊຸດພິນ້ຽມ (ປື້ມ+ຕຸກນ້ຳ+ບິກ),Merch,set,120,6,https://drive.google.com/uc?id=1yFnX4ALjzaH-hxAqslLLwl6y8PAC_1hN,0,120,251600,2026-02-20
sku-1772007048630,ໂຕະຂາວ (ແບບພັບ) W180 x H75 x L60cm,Booth,ນ່ວຍ,3,2,https://drive.google.com/uc?id=1JA3jDowJbg5HiXKUurIrtPa7hQGnGDe3,1,3,0,2026-02-20
sku-1772007441977,ຕັ່ງພັບ ສີຟ້າ ,Booth,ນ່ວຍ,8,8,https://drive.google.com/uc?id=1H6EVkRSnmbqyM8KqpItX-vFRc7irv95Y,2,8,0,2026-02-20
sku-1772168083653,A4 Acrylic Sign Holder,Booth,ອັນ,10,10,https://drive.google.com/uc?id=1r-Zr9Edb8KyiiaQGiCyKMeLcjDhIy-FZ,2,10,145000,2026-02-20
sku-1772179915959,ແບັກດອບແບບຜ້າ  230 WxH 200 cm,Booth,ອັນ,2,0,https://drive.google.com/uc?id=1jrBkVokkLjt9eii6OhsjnU1mTsBSKVlZ,1,2,0,2026-02-20
sku-1772183466273,ໂຕະເຄົາເຕີ Fabric Counter  ຂະຫນາດ: W 75x H 150 Cm,Booth,ນ່ວຍ,2,2,https://drive.google.com/uc?id=1mXXihwsoRwCRyM9ziyKJ10x6lIkLE5ZC,1,2,0,2026-02-20
sku-1772183613706,Beach flag 310x240x60 Cm ,Booth,ອັນ,2,2,https://drive.google.com/uc?id=1PYa4rPfMVPMkt-V6AorH8ZFccqcbDfPf,1,2,0,2026-02-20
sku-1772183974356,TV  52 ນິ້ວ,Booth,ນ່ວຍ,1,1,https://drive.google.com/uc?id=1LeUkceG5HJa8ynzswjzv4qUS9AyypgmF,1,1,0,2026-02-20
sku-1773299233699,A4 Brochure,Booth,ອັນ,5000,300,https://drive.google.com/uc?id=1t2TaS9ce-8ua9gGAQk8HgWW3RFHazaiW,0,5000,1200,2026-02-20
sku-1773828255894,JBL Speaker,Booth,ນ່ວຍ,1,2,https://drive.google.com/uc?id=1-4v7SLrNEPvUClJiPX6fPbye7f-xe6hP,1,3,0,2026-02-20
sku-1774606011601,ຫົວສາກໂທລະສັບ ,Merch,ອັນ,500,133,https://drive.google.com/uc?id=1qqijUfFAH6ADv9MGBiYDknTjg3ObPsiy,20,500,105000,2026-04-07
sku-1775030479680,ສາຍຮັດແຂນ (ກິລາ),Merch,ອັນ ,400,85,https://drive.google.com/uc?id=1B_KAX_feXQ3CMAmTpd2uBb5tYXEk6GM7,10,400,16500,2026-03-31
sku-1775030698487,ສາຍຫ້ອຍຄໍ (ພວງກະແຈ) ,Merch,ອັນ ,2000,250,https://drive.google.com/uc?id=1SjrjCqWIZ9xsY24MDwA6iHYnm4mmIvmX,20,2000,14000,2026-03-31
sku-1775456004647,ກະເປົາກິລາ,Merch,ນ່ວຍ,600,210,https://drive.google.com/uc?id=1kOKWOoaNPcNH9Ken9EcAs_gXj79RY2WY,10,600,95000,2026-04-06
sku-1775815774049,ຂາຕັ້ງໂທລະສັບ ,Merch,ອັນ,690,20,https://drive.google.com/uc?id=1jmqc8j3ZTxA2splfDuZQj9H-NutS5jY1,50,690,52000,2026-04-09
sku-1776756364541,ຖົງກັນນ້ຳ,Merch,ອັນ,770,0,https://drive.google.com/uc?id=1VszHSBFpeyl0E85KtcFgbOUmlO2DU0kK,5,770,54000,2026-04-02
sku-1776929481221,ພັດລົມໄອນ້ຳ,Booth,ນ່ວຍ,2,0,https://drive.google.com/uc?id=10QLgb3n0xzBQ_jM_-pwndcbwkLbI71uf,1,2,0,2026-04-24
sku-1777355358958,ໂຕະຜ້າແບບ ໄຮໂດຣິກ,Booth,ນ່ວຍ,2,2,https://drive.google.com/uc?id=1HoAmxwlbdl1qPnJK8xZ0qQ21QzOFtpON,0,2,2600000,2026-05-11
sku-1779434977945,Paper Bag,Booth,ອັນ,5000,4295,https://drive.google.com/uc?id=1OKF2e1Rt7mP_J0eiuRSkTtDnZVTURAyO,100,5000,12000,2026-05-15
sku-1780972510074,ຈອກເກັບອຸນຫະພູມ 2026,Merch,ຫນ່ວຍ,300,0,https://drive.google.com/uc?id=13U9QXzaW56b7drekeOZN2RrOiarFaTft,30,300,73000,2026-06-09
sku-1781512257490,KPV ໂຕະໄຮໂດຣລິກ ,Booth,ນ່ວຍ,1,0,https://drive.google.com/uc?id=1MqGx01AlFXDu7QUlfLME61Lq2FSy3nyF,1,1,2600000,2026-06-16
sku-1781666955837,Pride Bag,Merch,ນ່ວຍ ,100,0,https://drive.google.com/uc?id=1KzZVez0d54XupruCjZCffgSVHrpxR2RS,1,100,75000,2026-06-17
sku-1781681021177,ຫມວກ 2026 ,Merch,ນ່ວຍ,500,0,https://drive.google.com/uc?id=164-A6eQqvFJ8STTJlC3td3iRSKbspTKA,20,500,55000,2026-06-17
sku-1785120875998,A4 Brochure Easy Hub,Booth,ອັນ,3000,3000,https://drive.google.com/uc?id=1oz22cD3LXJjbwdf5HjmMvZSseCIFieCW,50,6000,1800,2026-07-24
sku-1785121215788,Paper Bag for GOLD,Merch,ອັນ,5000,4848,https://drive.google.com/uc?id=1LB2DirspdcFj0fHC3XZOU64VHvO3gJ6M,500,10000,7000,2026-07-22
sku-1787027890986,ກ່ອງຂອງຂວັນ,Merch,ອັນ,300,290,https://drive.google.com/uc?id=1w6mrynZYYoq6YH-slIL1rXVv2ux-bKe-,10,300,45000,2026-08-18
sku-1787714793029,Tote Bag If & Art,Merch,ນ່ວຍ,110,0,https://drive.google.com/uc?id=1z9O4vnsWmlazf9clvYNlfXnb8bgrZQ0x,1,110,280000,2026-08-03
sku-1787715043950,Gift set 2026,Merch,ຊຸດ,100,100,https://drive.google.com/uc?id=18RNb3orfnwjRMeobW3v-OG3QH9A3PKzy,20,100,260000,2026-08-25
sku-1788146835376,Piggy Bank V2 ,Merch,ອັນ ,100,100,https://drive.google.com/uc?id=1DO8XzALge_qHw41jw1x7ONsA2MYlMfIA,20,100,59000,2026-08-28
