ID,Ticket_ID,SKU_ID,Qty,Type,Date,Action_At,Action_By,Status,Comment,Qty_Broken,SKU_Name
,TKT-1771577788359,sku-1771407061986,80,deduction,2026-03-24,2026-03-24T08:05:19.378Z,Souliphonh Phengxay,Approved,,,
,TKT-1771577788359,sku-1771407810939,41,deduction,2026-03-24,2026-03-24T08:05:19.378Z,Souliphonh Phengxay,Approved,,,
,TKT-1772507237246,sku-1771406960024,1,deduction,2026-03-24,2026-03-24T08:05:34.964Z,Souliphonh Phengxay,Approved,,,
,TKT-1772507237246,sku-1771407004896,2,deduction,2026-03-24,2026-03-24T08:05:34.964Z,Souliphonh Phengxay,Approved,,,
,TKT-1772507237246,sku-1771407101349,1,deduction,2026-03-24,2026-03-24T08:05:34.964Z,Souliphonh Phengxay,Approved,,,
,TKT-1772507237246,sku-1771407810939,2,deduction,2026-03-24,2026-03-24T08:05:34.964Z,Souliphonh Phengxay,Approved,,,
,TKT-1772592110294,sku-1771407061986,20,deduction,2026-03-24,2026-03-24T08:05:52.128Z,Souliphonh Phengxay,Approved,,,
,TKT-1773299387291,sku-1771407101349,10,deduction,2026-03-24,2026-03-24T08:06:06.664Z,Souliphonh Phengxay,Approved,,,
,TKT-1773299387291,sku-1773299233699,1000,deduction,2026-03-24,2026-03-24T08:06:06.664Z,Souliphonh Phengxay,Approved,,,
,TKT-1773652078809,sku-1771407061986,30,deduction,2026-03-24,2026-03-24T08:06:21.012Z,Souliphonh Phengxay,Approved,,,
,TKT-1773722800507,sku-1771408020353,5,deduction,2026-03-24,2026-03-24T08:06:33.410Z,Souliphonh Phengxay,Approved,,,
,TKT-1773723473614,sku-1771407101349,10,deduction,2026-03-24,2026-03-24T08:07:06.618Z,Souliphonh Phengxay,Approved,,,
,TKT-1774339252579,sku-1771407810939,40,deduction,2026-03-26,2026-03-26T01:35:17.102Z,Souliphonh Phengxay,Approved,,,
,TKT-1774431236031,sku-1771407101349,500,deduction,2026-03-27,2026-03-27T01:36:19.060Z,Souliphonh Phengxay,Approved,,,
,TKT-1774431236031,sku-1771406960024,200,deduction,2026-03-27,2026-03-27T01:36:19.060Z,Souliphonh Phengxay,Approved,,,
,TKT-1774431236031,sku-1771407316677,100,deduction,2026-03-27,2026-03-27T01:36:19.060Z,Souliphonh Phengxay,Approved,,,
,TKT-1774519787325,sku-1771408020353,10,deduction,2026-03-27,2026-03-27T01:36:35.542Z,Souliphonh Phengxay,Approved,,,
,TKT-1774519858761,sku-1772007048630,1,deduction,2026-03-27,2026-03-27T07:00:08.601Z,Souliphonh Phengxay,Approved,,,
,TKT-1775030802941,sku-1771407061986,20,deduction,2026-04-01,2026-04-01T10:48:36.679Z,Souliphonh Phengxay,Approved,,,
,TKT-1775030802941,sku-1771407101349,5,deduction,2026-04-01,2026-04-01T10:48:36.679Z,Souliphonh Phengxay,Approved,,,
,TKT-1775030802941,sku-1771407810939,5,deduction,2026-04-01,2026-04-01T10:48:36.679Z,Souliphonh Phengxay,Approved,,,
,TKT-1775031095824,sku-1775030698487,20,deduction,2026-04-01,2026-04-01T10:48:57.282Z,Souliphonh Phengxay,Approved,,,
,TKT-1775100401216,sku-1771407061986,60,deduction,2026-04-07,2026-04-07T03:28:48.803Z,Souliphonh Phengxay,Approved,,,
,TKT-1775100401216,sku-1775030698487,300,deduction,2026-04-07,2026-04-07T03:28:48.803Z,Souliphonh Phengxay,Approved,,,
,TKT-1775100401216,sku-1775030479680,160,deduction,2026-04-07,2026-04-07T03:28:48.803Z,Souliphonh Phengxay,Approved,,,
,TKT-1775100401216,sku-1773299233699,1200,deduction,2026-04-07,2026-04-07T03:28:48.803Z,Souliphonh Phengxay,Approved,,,
