ticket_id,sku_id,SKU_Name,qty_requested,Qty_Approved,Unit,,
TKT-1771577788359,sku-1771407061986,ຈອກກາເເຟ,80,80,pcs,finalized,For Lunar New Year Campaign (10-17 Feb 2026)
TKT-1771577788359,sku-1771407810939,ກະປຸກອອມສິນ,41,41,pcs,finalized,For Lunar New Year Campaign (10-17 Feb 2026)
TKT-1772507237246,sku-1771406960024,ບິກອີຊີໂກລ,1,1,pcs,finalized,for Kaopoon's shooting as a prop and easter eggs
TKT-1772507237246,sku-1771407004896,ພວງກະເເຈ,2,2,pcs,finalized,for Kaopoon's shooting as a prop and easter eggs
TKT-1772507237246,sku-1771407101349,ຈອກເກັບຄວາມເຢັນ,1,1,pcs,finalized,for Kaopoon's shooting as a prop and easter eggs
TKT-1772507237246,sku-1771407810939,ກະປຸກອອມສິນ,2,2,pcs,finalized,for Kaopoon's shooting as a prop and easter eggs
TKT-1772592110294,sku-1771407061986,ຈອກກາເເຟ,10,20,pcs,finalized,ເບີກໄປໃຊ້ຊັ້ນ 1
TKT-1773299387291,sku-1771407101349,ຈອກເກັບຄວາມເຢັນ,10,10,pcs,finalized,ໃຫ້ທີມອາເຈັນຊີ້ ອອກບູສ ທີ່ງານ ຫນັງສື ຢູ່ ມ.ຊ
TKT-1773299387291,sku-1773299233699,A4 Brochure,1000,1000,ອັນ,finalized,ໃຫ້ທີມອາເຈັນຊີ້ ອອກບູສ ທີ່ງານ ຫນັງສື ຢູ່ ມ.ຊ
TKT-1773652078809,sku-1771407061986,ຈອກກາເເຟ,30,30,pcs,finalized,For Bluebox campaign
TKT-1773722800507,sku-1771408020353,ຊຸດພິນ້ຽມ (ປື້ມ+ຕຸກນ້ຳ+ບິກ),5,5,set,finalized,ເບິກໄປຊັບພອດງານສະປອນເຊີ Pha-Jay
TKT-1773723473614,sku-1771407101349,ຈອກເກັບຄວາມເຢັນ,10,10,pcs,finalized,Support Corporate (partnership)
TKT-1774339252579,sku-1771407810939,ກະປຸກອອມສິນ,40,40,pcs,finalized,Agency support Picky Bank 40
TKT-1774431236031,sku-1771407101349,ຈອກເກັບຄວາມເຢັນ,500,500,pcs,finalized,ເບີກເຄື່ອງໄວ້ສາງຊັ້ນ6
TKT-1774431236031,sku-1771406960024,ບິກອີຊີໂກລ,200,200,pcs,finalized,ເບີກເຄື່ອງໄວ້ສາງຊັ້ນ6
TKT-1774431236031,sku-1771407316677,ຄັນຮົ່ມ 2026,100,100,pcs,finalized,ເບີກເຄື່ອງໄວ້ສາງຊັ້ນ6
